secid,date,symbol,expiration,cp_flag,strike,best_bid,best_offer,implied_volatility,expiryindicator,amsettlement
108105.0,2020-06-15,SPX 200619C2710000,2020-06-19,C,2710000.0,340.9,362.7,,,1.0
108105.0,2020-06-15,SPX 200619C2715000,2020-06-19,C,2715000.0,341.4,352.1,,,1.0
108105.0,2020-06-15,SPX 200619C2720000,2020-06-19,C,2720000.0,336.4,347.1,,,1.0
108105.0,2020-06-15,SPX 200619C2725000,2020-06-19,C,2725000.0,331.9,342.2,,,1.0
108105.0,2020-06-15,SPX 200619C2730000,2020-06-19,C,2730000.0,326.5,337.2,,,1.0
108105.0,2020-06-15,SPX 200619C2735000,2020-06-19,C,2735000.0,322.0,332.7,,,1.0
108105.0,2020-06-15,SPX 200619C2740000,2020-06-19,C,2740000.0,311.3,333.0,,,1.0
108105.0,2020-06-15,SPX 200619C2745000,2020-06-19,C,2745000.0,306.5,322.4,,,1.0
108105.0,2020-06-15,SPX 200619C2750000,2020-06-19,C,2750000.0,306.7,317.4,,,1.0
108105.0,2020-06-15,SPX 200619C2755000,2020-06-19,C,2755000.0,296.3,318.1,,,1.0
108105.0,2020-06-15,SPX 200619C2760000,2020-06-19,C,2760000.0,297.2,307.9,,,1.0
108105.0,2020-06-15,SPX 200619C2765000,2020-06-19,C,2765000.0,286.7,308.2,,,1.0
108105.0,2020-06-15,SPX 200619C2770000,2020-06-19,C,2770000.0,281.5,303.3,,,1.0
108105.0,2020-06-15,SPX 200619C2775000,2020-06-19,C,2775000.0,276.7,298.4,,,1.0
108105.0,2020-06-15,SPX 200619C2780000,2020-06-19,C,2780000.0,271.9,288.2,,,1.0
108105.0,2020-06-15,SPX 200619C2785000,2020-06-19,C,2785000.0,266.7,288.5,,,1.0
108105.0,2020-06-15,SPX 200619C2790000,2020-06-19,C,2790000.0,267.3,278.0,,,1.0
108105.0,2020-06-15,SPX 200619C2795000,2020-06-19,C,2795000.0,257.9,278.7,,,1.0
108105.0,2020-06-15,SPX 200619C2800000,2020-06-19,C,2800000.0,257.5,268.2,,,1.0
108105.0,2020-06-15,SPX 200619C2805000,2020-06-19,C,2805000.0,253.3,263.1,,,1.0
108105.0,2020-06-15,SPX 200619C2810000,2020-06-19,C,2810000.0,247.8,258.5,,,1.0
108105.0,2020-06-15,SPX 200619C2815000,2020-06-19,C,2815000.0,242.9,253.6,,,1.0
108105.0,2020-06-15,SPX 200619C2820000,2020-06-19,C,2820000.0,238.6,248.7,,,1.0
108105.0,2020-06-15,SPX 200619C2825000,2020-06-19,C,2825000.0,233.1,243.8,,,1.0
108105.0,2020-06-15,SPX 200619C2830000,2020-06-19,C,2830000.0,224.1,244.6,,,1.0
108105.0,2020-06-15,SPX 200619C2835000,2020-06-19,C,2835000.0,217.9,237.6,,,1.0
108105.0,2020-06-15,SPX 200619C2840000,2020-06-19,C,2840000.0,214.4,234.9,,,1.0
108105.0,2020-06-15,SPX 200619C2845000,2020-06-19,C,2845000.0,213.8,224.5,,,1.0
108105.0,2020-06-15,SPX 200619C2850000,2020-06-19,C,2850000.0,207.2,222.5,,,1.0
108105.0,2020-06-15,SPX 200619C2855000,2020-06-19,C,2855000.0,202.4,217.2,,,1.0
108105.0,2020-06-15,SPX 200619C2860000,2020-06-19,C,2860000.0,197.6,211.8,,,1.0
108105.0,2020-06-15,SPX 200619C2865000,2020-06-19,C,2865000.0,192.9,207.0,,,1.0
108105.0,2020-06-15,SPX 200619C2870000,2020-06-19,C,2870000.0,188.2,200.6,,,1.0
108105.0,2020-06-15,SPX 200619C2875000,2020-06-19,C,2875000.0,185.2,195.9,,,1.0
108105.0,2020-06-15,SPX 200619C2880000,2020-06-19,C,2880000.0,180.4,191.1,,,1.0
108105.0,2020-06-15,SPX 200619C2885000,2020-06-19,C,2885000.0,175.8,186.5,,,1.0
108105.0,2020-06-15,SPX 200619C2890000,2020-06-19,C,2890000.0,171.1,181.8,,,1.0
108105.0,2020-06-15,SPX 200619C2895000,2020-06-19,C,2895000.0,166.5,177.2,0.270672,,1.0
108105.0,2020-06-15,SPX 200619C2900000,2020-06-19,C,2900000.0,161.9,172.6,0.302845,,1.0
108105.0,2020-06-15,SPX 200619C2905000,2020-06-19,C,2905000.0,157.3,168.0,0.319402,,1.0
108105.0,2020-06-15,SPX 200619C2910000,2020-06-19,C,2910000.0,152.7,163.4,0.329809,,1.0
108105.0,2020-06-15,SPX 200619C2915000,2020-06-19,C,2915000.0,148.7,158.8,0.347244,,1.0
108105.0,2020-06-15,SPX 200619C2920000,2020-06-19,C,2920000.0,141.9,156.1,0.345919,,1.0
108105.0,2020-06-15,SPX 200619C2925000,2020-06-19,C,2925000.0,137.4,151.7,0.352345,,1.0
108105.0,2020-06-15,SPX 200619C2930000,2020-06-19,C,2930000.0,133.0,147.3,0.357956,,1.0
108105.0,2020-06-15,SPX 200619C2935000,2020-06-19,C,2935000.0,128.6,142.9,0.36175,,1.0
108105.0,2020-06-15,SPX 200619C2940000,2020-06-19,C,2940000.0,124.2,138.5,0.364089,,1.0
108105.0,2020-06-15,SPX 200619C2945000,2020-06-19,C,2945000.0,119.9,134.2,0.367151,,1.0
108105.0,2020-06-15,SPX 200619C2950000,2020-06-19,C,2950000.0,115.6,129.9,0.368929,,1.0
108105.0,2020-06-15,SPX 200619C2955000,2020-06-19,C,2955000.0,111.5,125.7,0.372138,,1.0
108105.0,2020-06-15,SPX 200619C2960000,2020-06-19,C,2960000.0,107.4,116.4,0.330828,,1.0
108105.0,2020-06-15,SPX 200619C2965000,2020-06-19,C,2965000.0,105.9,112.1,0.354944,,1.0
108105.0,2020-06-15,SPX 200619C2970000,2020-06-19,C,2970000.0,101.9,108.0,0.357378,,1.0
108105.0,2020-06-15,SPX 200619C2975000,2020-06-19,C,2975000.0,97.8,104.2,0.360056,,1.0
108105.0,2020-06-15,SPX 200619C2980000,2020-06-19,C,2980000.0,93.9,100.0,0.360222,,1.0
108105.0,2020-06-15,SPX 200619C2985000,2020-06-19,C,2985000.0,89.9,96.2,0.361391,,1.0
108105.0,2020-06-15,SPX 200619C2990000,2020-06-19,C,2990000.0,86.0,92.2,0.360941,,1.0
108105.0,2020-06-15,SPX 200619C2995000,2020-06-19,C,2995000.0,82.2,88.6,0.362578,,1.0
108105.0,2020-06-15,SPX 200619C300000,2020-06-19,C,300000.0,2749.9,2771.3,,,1.0
108105.0,2020-06-15,SPX 200619C3000000,2020-06-19,C,3000000.0,78.5,84.7,0.362053,,1.0
108105.0,2020-06-15,SPX 200619C3005000,2020-06-19,C,3005000.0,74.8,81.0,0.361764,,1.0
108105.0,2020-06-15,SPX 200619C3010000,2020-06-19,C,3010000.0,71.2,77.4,0.361659,,1.0
108105.0,2020-06-15,SPX 200619C3015000,2020-06-19,C,3015000.0,67.6,74.0,0.361699,,1.0
108105.0,2020-06-15,SPX 200619C3020000,2020-06-19,C,3020000.0,64.1,70.6,0.361341,,1.0
108105.0,2020-06-15,SPX 200619C3025000,2020-06-19,C,3025000.0,61.2,67.0,0.36208,,1.0
108105.0,2020-06-15,SPX 200619C3030000,2020-06-19,C,3030000.0,57.3,63.7,0.35849,,1.0
108105.0,2020-06-15,SPX 200619C3035000,2020-06-19,C,3035000.0,54.1,60.6,0.358419,,1.0
108105.0,2020-06-15,SPX 200619C3040000,2020-06-19,C,3040000.0,50.9,57.3,0.356505,,1.0
