expiry,T,r,strike,side,type,dK,weight,mid,cp_flag
2020-07-13,0.07671232876712329,0.0,4600.0,C,OTM,100.0,0.00012321091007291385,0.1,C
2020-07-13,0.07671232876712329,0.0,3060.0,M,B,,2.0047234580104137e-06,,M
2020-07-17,0.08767123287671233,0.0,100.0,P,OTM,0.0,0.0,0.025,P
2020-07-17,0.08767123287671233,0.0,100.0,P,OTM,50.0,0.1140625,0.025,P
2020-07-17,0.08767123287671233,0.0,200.0,P,OTM,50.0,0.028515625,0.075,P
2020-07-17,0.08767123287671233,0.0,200.0,P,OTM,50.0,0.028515625,0.025,P
2020-07-17,0.08767123287671233,0.0,300.0,P,OTM,50.0,0.012673611111111111,0.1,P
2020-07-17,0.08767123287671233,0.0,300.0,P,OTM,50.0,0.012673611111111111,0.05,P
2020-07-17,0.08767123287671233,0.0,400.0,P,OTM,50.0,0.00712890625,0.05,P
2020-07-17,0.08767123287671233,0.0,400.0,P,OTM,50.0,0.00712890625,0.1,P
2020-07-17,0.08767123287671233,0.0,500.0,P,OTM,50.0,0.004562500000000001,0.1,P
2020-07-17,0.08767123287671233,0.0,500.0,P,OTM,50.0,0.004562500000000001,0.05,P
2020-07-17,0.08767123287671233,0.0,600.0,P,OTM,50.0,0.003168402777777778,0.075,P
2020-07-17,0.08767123287671233,0.0,600.0,P,OTM,50.0,0.003168402777777778,0.1,P
2020-07-17,0.08767123287671233,0.0,700.0,P,OTM,50.0,0.0023278061224489797,0.125,P
2020-07-17,0.08767123287671233,0.0,700.0,P,OTM,50.0,0.0023278061224489797,0.1,P
2020-07-17,0.08767123287671233,0.0,800.0,P,OTM,50.0,0.0017822265625,0.125,P
2020-07-17,0.08767123287671233,0.0,800.0,P,OTM,50.0,0.0017822265625,0.125,P
2020-07-17,0.08767123287671233,0.0,900.0,P,OTM,50.0,0.001408179012345679,0.125,P
2020-07-17,0.08767123287671233,0.0,900.0,P,OTM,50.0,0.001408179012345679,0.15000000000000002,P
2020-07-17,0.08767123287671233,0.0,1000.0,P,OTM,50.0,0.0011406250000000001,0.2,P
2020-07-17,0.08767123287671233,0.0,1000.0,P,OTM,50.0,0.0011406250000000001,0.175,P
2020-07-17,0.08767123287671233,0.0,1100.0,P,OTM,50.0,0.0009426652892561984,0.15,P
2020-07-17,0.08767123287671233,0.0,1100.0,P,OTM,50.0,0.0009426652892561984,0.25,P
2020-07-17,0.08767123287671233,0.0,1200.0,P,OTM,50.0,0.0007921006944444444,0.25,P
2020-07-17,0.08767123287671233,0.0,1200.0,P,OTM,12.5,0.0001980251736111111,0.325,P
2020-07-17,0.08767123287671233,0.0,1225.0,P,OTM,12.5,0.0001900249895876718,0.35,P
2020-07-17,0.08767123287671233,0.0,1225.0,P,OTM,12.5,0.0001900249895876718,0.3,P
2020-07-17,0.08767123287671233,0.0,1250.0,P,OTM,12.5,0.0001825,0.375,P
2020-07-17,0.08767123287671233,0.0,1250.0,P,OTM,12.5,0.0001825,0.375,P
2020-07-17,0.08767123287671233,0.0,1275.0,P,OTM,12.5,0.00017541330257593235,0.425,P
2020-07-17,0.08767123287671233,0.0,1275.0,P,OTM,12.5,0.00017541330257593235,0.375,P
2020-07-17,0.08767123287671233,0.0,1300.0,P,OTM,12.5,0.00016873150887573965,0.425,P
2020-07-17,0.08767123287671233,0.0,1300.0,P,OTM,12.5,0.00016873150887573965,0.4,P
2020-07-17,0.08767123287671233,0.0,1325.0,P,OTM,12.5,0.0001624243503025988,0.45,P
2020-07-17,0.08767123287671233,0.0,1325.0,P,OTM,12.5,0.0001624243503025988,0.4,P
2020-07-17,0.08767123287671233,0.0,1350.0,P,OTM,12.5,0.00015646433470507543,0.47500000000000003,P
2020-07-17,0.08767123287671233,0.0,1350.0,P,OTM,12.5,0.00015646433470507543,0.44999999999999996,P
2020-07-17,0.08767123287671233,0.0,1375.0,P,OTM,12.5,0.00015082644628099172,0.44999999999999996,P
2020-07-17,0.08767123287671233,0.0,1375.0,P,OTM,12.5,0.00015082644628099172,0.5,P
2020-07-17,0.08767123287671233,0.0,1400.0,P,OTM,12.5,0.00014548788265306123,0.5,P
2020-07-17,0.08767123287671233,0.0,1400.0,P,OTM,12.5,0.00014548788265306123,0.525,P
2020-07-17,0.08767123287671233,0.0,1425.0,P,OTM,12.5,0.0001404278239458295,0.575,P
2020-07-17,0.08767123287671233,0.0,1425.0,P,OTM,12.5,0.0001404278239458295,0.5249999999999999,P
2020-07-17,0.08767123287671233,0.0,1450.0,P,OTM,12.5,0.00013562722948870393,0.575,P
2020-07-17,0.08767123287671233,0.0,1450.0,P,OTM,12.5,0.00013562722948870393,0.625,P
2020-07-17,0.08767123287671233,0.0,1475.0,P,OTM,12.5,0.0001310686584314852,0.6,P
2020-07-17,0.08767123287671233,0.0,1475.0,P,OTM,12.5,0.0001310686584314852,0.6499999999999999,P
2020-07-17,0.08767123287671233,0.0,1500.0,P,OTM,12.5,0.00012673611111111113,0.7,P
2020-07-17,0.08767123287671233,0.0,1500.0,P,OTM,12.5,0.00012673611111111113,0.65,P
2020-07-17,0.08767123287671233,0.0,1525.0,P,OTM,12.5,0.00012261488847084117,0.75,P
2020-07-17,0.08767123287671233,0.0,1525.0,P,OTM,12.5,0.00012261488847084117,0.675,P
2020-07-17,0.08767123287671233,0.0,1550.0,P,OTM,12.5,0.00011869146722164412,0.7250000000000001,P
2020-07-17,0.08767123287671233,0.0,1550.0,P,OTM,12.5,0.00011869146722164412,0.8,P
2020-07-17,0.08767123287671233,0.0,1575.0,P,OTM,12.5,0.00011495338876291258,0.8500000000000001,P
2020-07-17,0.08767123287671233,0.0,1575.0,P,OTM,12.5,0.00011495338876291258,0.7749999999999999,P
2020-07-17,0.08767123287671233,0.0,1600.0,P,OTM,12.5,0.00011138916015625,0.825,P
2020-07-17,0.08767123287671233,0.0,1600.0,P,OTM,12.5,0.00011138916015625,0.8999999999999999,P
2020-07-17,0.08767123287671233,0.0,1625.0,P,OTM,12.5,0.00010798816568047337,0.9750000000000001,P
2020-07-17,0.08767123287671233,0.0,1625.0,P,OTM,12.5,0.00010798816568047337,0.875,P
2020-07-17,0.08767123287671233,0.0,1650.0,P,OTM,12.5,0.00010474058769513315,0.925,P
2020-07-17,0.08767123287671233,0.0,1650.0,P,OTM,12.5,0.00010474058769513315,1.025,P
2020-07-17,0.08767123287671233,0.0,1675.0,P,OTM,12.5,0.00010163733570951214,1.075,P
2020-07-17,0.08767123287671233,0.0,1675.0,P,OTM,2.5,2.0327467141902428e-05,1.0,P
2020-07-17,0.08767123287671233,0.0,1680.0,P,OTM,2.5,2.0206650368480725e-05,1.025,P
2020-07-17,0.08767123287671233,0.0,1680.0,P,OTM,5.0,4.041330073696145e-05,1.125,P
2020-07-17,0.08767123287671233,0.0,1690.0,P,OTM,5.0,3.993645180490879e-05,1.125,P
2020-07-17,0.08767123287671233,0.0,1690.0,P,OTM,5.0,3.993645180490879e-05,1.025,P
2020-07-17,0.08767123287671233,0.0,1700.0,P,OTM,5.0,3.946799307958477e-05,1.1,P
2020-07-17,0.08767123287671233,0.0,1700.0,P,OTM,5.0,3.946799307958477e-05,1.175,P
2020-07-17,0.08767123287671233,0.0,1710.0,P,OTM,5.0,3.9007728873841526e-05,1.2,P
2020-07-17,0.08767123287671233,0.0,1710.0,P,OTM,5.0,3.9007728873841526e-05,1.125,P
2020-07-17,0.08767123287671233,0.0,1720.0,P,OTM,5.0,3.8555469172525686e-05,1.15,P
2020-07-17,0.08767123287671233,0.0,1720.0,P,OTM,2.5,1.9277734586262843e-05,1.225,P
2020-07-17,0.08767123287671233,0.0,1725.0,P,OTM,2.5,1.916614156689771e-05,1.25,P
2020-07-17,0.08767123287671233,0.0,1725.0,P,OTM,2.5,1.916614156689771e-05,1.15,P
2020-07-17,0.08767123287671233,0.0,1730.0,P,OTM,2.5,1.9055514718166326e-05,1.275,P
2020-07-17,0.08767123287671233,0.0,1730.0,P,OTM,5.0,3.811102943633265e-05,1.2,P
2020-07-17,0.08767123287671233,0.0,1740.0,P,OTM,5.0,3.7674230413528866e-05,1.2,P
2020-07-17,0.08767123287671233,0.0,1740.0,P,OTM,5.0,3.7674230413528866e-05,1.275,P
2020-07-17,0.08767123287671233,0.0,1750.0,P,OTM,5.0,3.724489795918367e-05,1.325,P
2020-07-17,0.08767123287671233,0.0,1750.0,P,OTM,5.0,3.724489795918367e-05,1.25,P
2020-07-17,0.08767123287671233,0.0,1760.0,P,OTM,5.0,3.682286286157025e-05,1.3,P
2020-07-17,0.08767123287671233,0.0,1760.0,P,OTM,5.0,3.682286286157025e-05,1.375,P
2020-07-17,0.08767123287671233,0.0,1770.0,P,OTM,5.0,3.640796067541256e-05,1.4,P
2020-07-17,0.08767123287671233,0.0,1770.0,P,OTM,2.5,1.820398033770628e-05,1.3250000000000002,P
2020-07-17,0.08767123287671233,0.0,1775.0,P,OTM,2.5,1.8101567149375124e-05,1.425,P
2020-07-17,0.08767123287671233,0.0,1775.0,P,OTM,2.5,1.8101567149375124e-05,1.35,P
2020-07-17,0.08767123287671233,0.0,1780.0,P,OTM,2.5,1.8000015780835752e-05,1.35,P
2020-07-17,0.08767123287671233,0.0,1780.0,P,OTM,5.0,3.6000031561671504e-05,1.425,P
2020-07-17,0.08767123287671233,0.0,1790.0,P,OTM,5.0,3.5598920133578855e-05,1.475,P
2020-07-17,0.08767123287671233,0.0,1790.0,P,OTM,5.0,3.5598920133578855e-05,1.4,P
2020-07-17,0.08767123287671233,0.0,1800.0,P,OTM,5.0,3.520447530864197e-05,1.4249999999999998,P
2020-07-17,0.08767123287671233,0.0,1800.0,P,OTM,5.0,3.520447530864197e-05,1.525,P
2020-07-17,0.08767123287671233,0.0,1810.0,P,OTM,5.0,3.481655016635634e-05,1.475,P
2020-07-17,0.08767123287671233,0.0,1810.0,P,OTM,5.0,3.481655016635634e-05,1.575,P
2020-07-17,0.08767123287671233,0.0,1820.0,P,OTM,5.0,3.443500181137544e-05,1.575,P
2020-07-17,0.08767123287671233,0.0,1820.0,P,OTM,2.5,1.721750090568772e-05,1.525,P
2020-07-17,0.08767123287671233,0.0,1825.0,P,OTM,2.5,1.7123287671232875e-05,1.55,P
2020-07-17,0.08767123287671233,0.0,1825.0,P,OTM,2.5,1.7123287671232875e-05,1.625,P
2020-07-17,0.08767123287671233,0.0,1830.0,P,OTM,2.5,1.702984562095016e-05,1.625,P
2020-07-17,0.08767123287671233,0.0,1830.0,P,OTM,5.0,3.405969124190032e-05,1.5750000000000002,P
2020-07-17,0.08767123287671233,0.0,1840.0,P,OTM,5.0,3.3690483223062385e-05,1.625,P
2020-07-17,0.08767123287671233,0.0,1840.0,P,OTM,5.0,3.3690483223062385e-05,1.675,P
2020-07-17,0.08767123287671233,0.0,1850.0,P,OTM,5.0,3.3327246165084e-05,1.725,P
2020-07-17,0.08767123287671233,0.0,1850.0,P,OTM,5.0,3.3327246165084e-05,1.6749999999999998,P
2020-07-17,0.08767123287671233,0.0,1860.0,P,OTM,5.0,3.296985200601225e-05,1.725,P
2020-07-17,0.08767123287671233,0.0,1860.0,P,OTM,5.0,3.296985200601225e-05,1.775,P
2020-07-17,0.08767123287671233,0.0,1870.0,P,OTM,5.0,3.2618176098830395e-05,1.825,P
2020-07-17,0.08767123287671233,0.0,1870.0,P,OTM,2.5,1.6309088049415197e-05,1.775,P
2020-07-17,0.08767123287671233,0.0,1875.0,P,OTM,2.5,1.6222222222222223e-05,1.775,P
2020-07-17,0.08767123287671233,0.0,1875.0,P,OTM,2.5,1.6222222222222223e-05,1.85,P
2020-07-17,0.08767123287671233,0.0,1880.0,P,OTM,2.5,1.6136048551380716e-05,1.875,P
2020-07-17,0.08767123287671233,0.0,1880.0,P,OTM,5.0,3.227209710276143e-05,1.825,P
2020-07-17,0.08767123287671233,0.0,1890.0,P,OTM,5.0,3.193149687858683e-05,1.875,P
2020-07-17,0.08767123287671233,0.0,1890.0,P,OTM,5.0,3.193149687858683e-05,1.925,P
2020-07-17,0.08767123287671233,0.0,1900.0,P,OTM,5.0,3.1596260387811634e-05,1.9749999999999999,P
2020-07-17,0.08767123287671233,0.0,1900.0,P,OTM,5.0,3.1596260387811634e-05,1.9249999999999998,P
2020-07-17,0.08767123287671233,0.0,1910.0,P,OTM,5.0,3.126627559551547e-05,1.975,P
2020-07-17,0.08767123287671233,0.0,1910.0,P,OTM,5.0,3.126627559551547e-05,2.025,P
2020-07-17,0.08767123287671233,0.0,1920.0,P,OTM,5.0,3.094143337673611e-05,2.075,P
2020-07-17,0.08767123287671233,0.0,1920.0,P,OTM,2.5,1.5470716688368055e-05,2.025,P
2020-07-17,0.08767123287671233,0.0,1925.0,P,OTM,2.5,1.5390453702142015e-05,2.05,P
2020-07-17,0.08767123287671233,0.0,1925.0,P,OTM,2.5,1.5390453702142015e-05,2.125,P
